what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324685402296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324685402412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324685408605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324685409338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324697843026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324697843814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324697914633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324701459091
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324701464442
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324701471955
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324701472128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324701533258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802870895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802897937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802917884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802919001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802924070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324802939350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324886731330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324886731907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324887419426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324887421164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325026053501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325026053794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325390653370
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1326521930575
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1326521930576
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1326521930576
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1326521930576
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1326521930576
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1326521930576
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1326521930576
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1326521930576
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1326521930576
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1326521930576
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1326521930576
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1326521930576
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1326521930576
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1326521930576
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1326521930576
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1326521930576
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1326521930576
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1326521930576
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1326521930576
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1326521930576
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1326521930576
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1326521930576
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1326521930576
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1326521930576
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1326521930576
